date,visitors
2015-01-01,723255
2015-02-01,815138
2015-03-01,958493
2015-04-01,1112904
2015-05-01,1060730
2015-06-01,517926
2015-07-01,419430
2015-08-01,730808
2015-09-01,907874
2015-10-01,1076153
2015-11-01,911647
2015-12-01,901131
2016-01-01,865064
2016-02-01,849995
2016-03-01,1123465
2016-04-01,1214201
2016-05-01,1202692
2016-06-01,1277116
2016-07-01,1405496
2016-08-01,1312514
2016-09-01,1199450
2016-10-01,1303692
2016-11-01,1076471
2016-12-01,1102769
2017-01-01,978223
2017-02-01,952948
2017-03-01,970389
2017-04-01,854669
2017-05-01,738590
2017-06-01,775181
2017-07-01,782389
2017-08-01,817226
2017-09-01,839415
2017-10-01,899881
2017-11-01,880745
2017-12-01,925938
2018-01-01,742732
2018-02-01,790477
2018-03-01,1085542
2018-04-01,1091353
2018-05-01,991449
2018-06-01,1055855
2018-07-01,1030612
2018-08-01,1100711
2018-09-01,1013326
2018-10-01,1269201
2018-11-01,1130709
2018-12-01,1112381
2019-01-01,884293
2019-02-01,907928
2019-03-01,1251744
2019-04-01,1382540
2019-05-01,1233562
2019-06-01,1237840
2019-07-01,1218767
2019-08-01,1251764
2019-09-01,1178421
2019-10-01,1403576
2019-11-01,1234503
2019-12-01,1247337
2020-01-01,1030497
2020-02-01,503976
2020-03-01,31497
2020-04-01,5135
2020-05-01,6111
2020-06-01,9744
2020-07-01,12732
2020-08-01,8634
2020-09-01,10619
2020-10-01,11119
2020-11-01,11514
2020-12-01,11893
2021-01-01,9035
2021-02-01,8500
2021-03-01,11169
2021-04-01,11492
2021-05-01,15381
2021-06-01,17847
2021-07-01,20297
2021-08-01,18452
2021-09-01,19611
2021-10-01,25698
2021-11-01,28734
2021-12-01,25630
2022-01-01,16961
2022-02-01,16512
2022-03-01,22492
2022-04-01,57448
2022-05-01,89179
2022-06-01,133883
2022-07-01,153171
2022-08-01,159128
2022-09-01,213310
2022-10-01,360862
2022-11-01,341686
2022-12-01,434305
2023-01-01,312847
2023-02-01,319098
2023-03-01,627681
2023-04-01,736870
2023-05-01,691789
2023-06-01,789269
2023-07-01,853340
2023-08-01,839458
2023-09-01,901891
2023-10-01,1009849
2023-11-01,933033
2023-12-01,865774
2024-01-01,696840
2024-02-01,773941
2024-03-01,1223899
2024-04-01,1233368
2024-05-01,1175823
2024-06-01,1191056
2024-07-01,1183145
2024-08-01,1245119
2024-09-01,1186832
2024-10-01,1363685
2024-11-01,1144106
2024-12-01,1068024
2025-01-01,912811
2025-02-01,833733
2025-03-01,1327123
2025-04-01,1450274
2025-05-01,1353687
2025-06-01,1370788
2025-07-01,1484970
2025-08-01,1480051
2025-09-01,1432891
