date,usd_krw,jpy_krw_100,google_search_index,youtube_search_index,kculture_mean,kdrama_mean,kfood_mean,kpop_mean,k_index,visitors,month_sin,month_cos,covid_period,usd_krw_lag1,usd_krw_lag2,usd_krw_lag3,usd_krw_lag12,jpy_krw_100_lag1,jpy_krw_100_lag2,jpy_krw_100_lag3,jpy_krw_100_lag12,google_search_index_lag1,google_search_index_lag2,google_search_index_lag3,google_search_index_lag12,youtube_search_index_lag1,youtube_search_index_lag2,youtube_search_index_lag3,youtube_search_index_lag12,k_index_lag1,k_index_lag2,k_index_lag3,k_index_lag12,visitors_lag1,visitors_lag2,visitors_lag3,visitors_lag12
2015-01-01,1090,921,1975.0,1865.0,26.75,39.75,16.75,13.0,24.0625,723255,0.49999999999999994,0.8660254037844387,0,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,1099,924,2029.0,2056.0,21.75,36.5,17.0,13.4,22.1625,815138,0.8660254037844386,0.5000000000000001,0,1090.0,,,,921.0,,,,1975.0,,,,1865.0,,,,24.0625,,,,723255.0,,,
2015-03-01,1109,922,1945.0,1980.0,25.75,36.25,18.0,11.8,22.95,958493,1.0,6.123233995736766e-17,0,1099.0,1090.0,,,924.0,921.0,,,2029.0,1975.0,,,2056.0,1865.0,,,22.1625,24.0625,,,815138.0,723255.0,,
2015-04-01,1078,904,2079.0,2054.0,30.75,37.0,16.75,13.8,24.575,1112904,0.8660254037844387,-0.4999999999999998,0,1109.0,1099.0,1090.0,,922.0,924.0,921.0,,1945.0,2029.0,1975.0,,1980.0,2056.0,1865.0,,22.95,22.1625,24.0625,,958493.0,815138.0,723255.0,
2015-05-01,1100,900,2136.0,2112.0,22.75,38.0,18.75,13.4,23.225,1060730,0.49999999999999994,-0.8660254037844387,0,1078.0,1109.0,1099.0,,904.0,922.0,924.0,,2079.0,1945.0,2029.0,,2054.0,1980.0,2056.0,,24.575,22.95,22.1625,,1112904.0,958493.0,815138.0,
2015-06-01,1118,908,2076.0,2128.0,25.25,39.5,19.75,13.4,24.475,517926,1.2246467991473532e-16,-1.0,0,1100.0,1078.0,1109.0,,900.0,904.0,922.0,,2136.0,2079.0,1945.0,,2112.0,2054.0,1980.0,,23.225,24.575,22.95,,1060730.0,1112904.0,958493.0,
2015-07-01,1155,933,2259.0,1995.0,19.25,37.75,19.5,14.0,22.625,419430,-0.4999999999999997,-0.8660254037844388,0,1118.0,1100.0,1078.0,,908.0,900.0,904.0,,2076.0,2136.0,2079.0,,2128.0,2112.0,2054.0,,24.475,23.225,24.575,,517926.0,1060730.0,1112904.0,
2015-08-01,1178,964,2105.0,2073.0,21.75,34.75,21.75,13.1,22.8375,730808,-0.8660254037844385,-0.5000000000000004,0,1155.0,1118.0,1100.0,,933.0,908.0,900.0,,2259.0,2076.0,2136.0,,1995.0,2128.0,2112.0,,22.625,24.475,23.225,,419430.0,517926.0,1060730.0,
2015-09-01,1190,991,2204.0,2315.0,25.5,33.25,28.5,14.1,25.3375,907874,-1.0,-1.8369701987210297e-16,0,1178.0,1155.0,1118.0,,964.0,933.0,908.0,,2105.0,2259.0,2076.0,,2073.0,1995.0,2128.0,,22.8375,22.625,24.475,,730808.0,419430.0,517926.0,
2015-10-01,1145,950,2225.0,2453.0,28.5,35.0,31.25,13.3,27.0125,1076153,-0.8660254037844386,0.5000000000000001,0,1190.0,1178.0,1155.0,,991.0,964.0,933.0,,2204.0,2105.0,2259.0,,2315.0,2073.0,1995.0,,25.3375,22.8375,22.625,,907874.0,730808.0,419430.0,
