year_month,usd_krw,usdkrw_lag1,usdkrw_lag2,usdkrw_lag3,jpy_krw,cny_krw
2015-01,1090,,,,921,175
2015-02,1099,1090,,,924,176
2015-03,1109,1099,1090,,922,178
2015-04,1078,1109,1099,1090,904,174
2015-05,1100,1078,1109,1099,900,177
2015-06,1118,1100,1078,1109,908,180
2015-07,1155,1118,1100,1078,933,186
2015-08,1178,1155,1118,1100,964,185
2015-09,1190,1178,1155,1118,991,187
2015-10,1145,1190,1178,1155,950,180
2015-11,1151,1145,1190,1178,939,180
2015-12,1172,1151,1145,1190,967,181
2016-01,1205,1172,1151,1145,1017,
2016-02,1226,1205,1172,1151,1073,
2016-03,1171,1226,1205,1172,1039,
2016-04,1146,1171,1226,1205,1051,
2016-05,1181,1146,1171,1226,1074,
2016-06,1168,1181,1146,1171,1120,
2016-07,1135,1168,1181,1146,1086,
2016-08,1115,1135,1168,1181,1092,
2016-09,1102,1115,1135,1168,1086,
2016-10,1135,1102,1115,1135,1089,
2016-11,1165,1135,1102,1115,1056,
2016-12,1195,1165,1135,1102,1028,
2017-01,1171,1195,1165,1135,1024,
2017-02,1139,1171,1195,1165,1008,
2017-03,1125,1139,1171,1195,1001,
2017-04,1131,1125,1139,1171,1022,
2017-05,1125,1131,1125,1139,1009,
2017-06,1135,1125,1131,1125,1018,
2017-07,1127,1135,1125,1131,1010,
2017-08,1127,1127,1135,1125,1024,
2017-09,1139,1127,1127,1135,1021,
2017-10,1128,1139,1127,1127,998,
2017-11,1094,1128,1139,1127,973,
2017-12,1079,1094,1128,1139,955,
2018-01,1069,1079,1094,1128,973,
2018-02,1075,1069,1079,1094,998,
2018-03,1069,1075,1069,1079,1006,
2018-04,1072,1069,1075,1069,990,
2018-05,1079,1072,1069,1075,988,
2018-06,1107,1079,1072,1069,1004,
2018-07,1120,1107,1079,1072,1007,
2018-08,1115,1120,1107,1079,1004,
2018-09,1117,1115,1120,1107,992,
2018-10,1136,1117,1115,1120,1006,
2018-11,1125,1136,1117,1115,992,
2018-12,1120,1125,1136,1117,1006,
2019-01,1120,1120,1125,1136,1028,
2019-02,1120,1120,1120,1125,1012,
2019-03,1134,1120,1120,1120,1023,
2019-04,1150,1134,1120,1120,1029,
2019-05,1187,1150,1134,1120,1081,
2019-06,1166,1187,1150,1134,1081,
2019-07,1179,1166,1187,1150,1087,
2019-08,1212,1179,1166,1187,1139,
2019-09,1199,1212,1179,1166,1115,
2019-10,1176,1199,1212,1179,1084,
2019-11,1173,1176,1199,1212,1075,
2019-12,1167,1173,1176,1199,1070,
2020-01,1174,1167,1173,1176,1076,
2020-02,1205,1174,1167,1173,1097,
2020-03,1221,1205,1174,1167,1133,
2020-04,1225,1221,1205,1174,1141,
2020-05,1234,1225,1221,1205,1148,
2020-06,1205,1234,1225,1221,1120,
2020-07,1195,1205,1234,1225,1130,
2020-08,1186,1195,1205,1234,1121,
2020-09,1176,1186,1195,1205,1114,
2020-10,1139,1176,1186,1195,1086,
2020-11,1111,1139,1176,1186,1065,
2020-12,1092,1111,1139,1176,1055,
2021-01,1106,1092,1111,1139,1064,
2021-02,1110,1106,1092,1111,1049,
2021-03,1132,1110,1106,1092,1034,
2021-04,1113,1132,1110,1106,1021,
2021-05,1120,1113,1132,1110,1022,
2021-06,1126,1120,1113,1132,1020,
2021-07,1146,1126,1120,1113,1043,
2021-08,1162,1146,1126,1120,1058,
2021-09,1177,1162,1146,1126,1060,
2021-10,1177,1177,1162,1146,1038,
2021-11,1188,1177,1177,1162,1043,
2021-12,1185,1188,1177,1177,1035,
2022-01,1198,1185,1188,1177,1041,
2022-02,1201,1198,1185,1188,1041,
2022-03,1216,1201,1198,1185,1011,
2022-04,1251,1216,1201,1198,974,
2022-05,1258,1251,1216,1201,981,
2022-06,1285,1258,1251,1216,949,
2022-07,1306,1285,1258,1251,963,
2022-08,1333,1306,1285,1258,973,
2022-09,1413,1333,1306,1285,983,
2022-10,1423,1413,1333,1306,965,
2022-11,1348,1423,1413,1333,958,
2022-12,1282,1348,1423,1413,956,
2023-01,1238,1282,1348,1423,949,
2023-02,1294,1238,1282,1348,962,
2023-03,1305,1294,1238,1282,979,
2023-04,1330,1305,1294,1238,996,
2023-05,1325,1330,1305,1294,958,
2023-06,1305,1325,1330,1305,913,
2023-07,1283,1305,1325,1330,910,
2023-08,1320,1283,1305,1325,908,
2023-09,1337,1320,1283,1305,902,
2023-10,1352,1337,1320,1283,905,
2023-11,1300,1352,1337,1320,876,
2023-12,1297,1300,1352,1337,909,
2024-01,1327,1297,1300,1352,904,
2024-02,1333,1327,1297,1300,888,
2024-03,1339,1333,1327,1297,889,
2024-04,1373,1339,1333,1327,886,
2024-05,1371,1373,1339,1333,877,
2024-06,1385,1371,1373,1339,869,
2024-07,1384,1385,1371,1373,890,
2024-08,1345,1384,1385,1371,924,
2024-09,1327,1345,1384,1385,927,
2024-10,1372,1327,1345,1384,904,
2024-11,1394,1372,1327,1345,914,
2024-12,1452,1394,1372,1327,935,
2025-01,1445,1452,1394,1372,928,
2025-02,1443,1445,1452,1394,957,
2025-03,1462,1443,1445,1452,980,
2025-04,1441,1462,1443,1445,1006,
2025-05,1388,1441,1462,1443,961,
2025-06,1362,1388,1441,1462,942,
2025-07,1379,1362,1388,1441,932,
2025-08,1389,1379,1362,1388,943,
2025-09,1397,1389,1379,1362,942,
2025-10,1423,1397,1389,1379,931,
