카테고리: 모든 카테고리

월,K-food: (전 세계)
2015-01,0
2015-02,0
2015-03,8
2015-04,0
2015-05,8
2015-06,10
2015-07,12
2015-08,14
2015-09,32
2015-10,31
2015-11,24
2015-12,18
2016-01,10
2016-02,0
2016-03,10
2016-04,15
2016-05,10
2016-06,13
2016-07,19
2016-08,19
2016-09,25
2016-10,27
2016-11,25
2016-12,23
2017-01,21
2017-02,20
2017-03,15
2017-04,14
2017-05,18
2017-06,15
2017-07,14
2017-08,12
2017-09,12
2017-10,13
2017-11,15
2017-12,9
2018-01,11
2018-02,9
2018-03,13
2018-04,8
2018-05,8
2018-06,21
2018-07,11
2018-08,13
2018-09,12
2018-10,13
2018-11,10
2018-12,9
2019-01,0
2019-02,6
2019-03,12
2019-04,9
2019-05,8
2019-06,10
2019-07,13
2019-08,10
2019-09,13
2019-10,13
2019-11,16
2019-12,11
2020-01,10
2020-02,14
2020-03,13
2020-04,10
2020-05,9
2020-06,11
2020-07,16
2020-08,15
2020-09,17
2020-10,10
2020-11,11
2020-12,12
2021-01,14
2021-02,13
2021-03,11
2021-04,14
2021-05,11
2021-06,12
2021-07,10
2021-08,18
2021-09,13
2021-10,13
2021-11,18
2021-12,18
2022-01,20
2022-02,17
2022-03,25
2022-04,18
2022-05,18
2022-06,21
2022-07,26
2022-08,21
2022-09,30
2022-10,17
2022-11,20
2022-12,20
2023-01,26
2023-02,21
2023-03,32
2023-04,33
2023-05,33
2023-06,36
2023-07,36
2023-08,34
2023-09,36
2023-10,28
2023-11,28
2023-12,29
2024-01,29
2024-02,34
2024-03,36
2024-04,47
2024-05,48
2024-06,59
2024-07,68
2024-08,53
2024-09,56
2024-10,46
2024-11,47
2024-12,37
2025-01,51
2025-02,50
2025-03,43
2025-04,47
2025-05,54
2025-06,53
2025-07,60
2025-08,100
2025-09,87
