카테고리: 모든 카테고리

월,Korean pop: (전 세계)
2015-01,91
2015-02,98
2015-03,81
2015-04,100
2015-05,86
2015-06,84
2015-07,89
2015-08,83
2015-09,93
2015-10,89
2015-11,86
2015-12,85
2016-01,97
2016-02,83
2016-03,87
2016-04,86
2016-05,77
2016-06,80
2016-07,67
2016-08,82
2016-09,75
2016-10,90
2016-11,78
2016-12,76
2017-01,78
2017-02,74
2017-03,76
2017-04,82
2017-05,76
2017-06,74
2017-07,80
2017-08,48
2017-09,47
2017-10,46
2017-11,50
2017-12,44
2018-01,51
2018-02,44
2018-03,38
2018-04,39
2018-05,38
2018-06,36
2018-07,32
2018-08,34
2018-09,36
2018-10,42
2018-11,40
2018-12,40
2019-01,34
2019-02,38
2019-03,37
2019-04,35
2019-05,34
2019-06,37
2019-07,35
2019-08,33
2019-09,31
2019-10,33
2019-11,33
2019-12,33
2020-01,31
2020-02,33
2020-03,29
2020-04,30
2020-05,30
2020-06,31
2020-07,35
2020-08,35
2020-09,31
2020-10,32
2020-11,30
2020-12,29
2021-01,30
2021-02,30
2021-03,31
2021-04,30
2021-05,30
2021-06,34
2021-07,32
2021-08,34
2021-09,32
2021-10,33
2021-11,31
2021-12,32
2022-01,28
2022-02,29
2022-03,27
2022-04,28
2022-05,32
2022-06,35
2022-07,36
2022-08,35
2022-09,57
2022-10,36
2022-11,36
2022-12,30
2023-01,27
2023-02,40
2023-03,46
2023-04,36
2023-05,35
2023-06,30
2023-07,27
2023-08,27
2023-09,27
2023-10,26
2023-11,25
2023-12,25
2024-01,25
2024-02,24
2024-03,23
2024-04,23
2024-05,25
2024-06,25
2024-07,23
2024-08,21
2024-09,22
2024-10,20
2024-11,22
2024-12,22
2025-01,24
2025-02,21
2025-03,21
2025-04,22
2025-05,22
2025-06,26
2025-07,35
2025-08,39
2025-09,40
