Month,Group,Keyword,SearchIndex
2015-01,Kculture,chuseok,2.0
2015-02,Kculture,chuseok,3.0
2015-03,Kculture,chuseok,2.0
2015-04,Kculture,chuseok,2.0
2015-05,Kculture,chuseok,2.0
2015-06,Kculture,chuseok,2.0
2015-07,Kculture,chuseok,3.0
2015-08,Kculture,chuseok,6.0
2015-09,Kculture,chuseok,43.0
2015-10,Kculture,chuseok,10.0
2015-11,Kculture,chuseok,4.0
2015-12,Kculture,chuseok,3.0
2016-01,Kculture,chuseok,3.0
2016-02,Kculture,chuseok,3.0
2016-03,Kculture,chuseok,2.0
2016-04,Kculture,chuseok,2.0
2016-05,Kculture,chuseok,2.0
2016-06,Kculture,chuseok,2.0
2016-07,Kculture,chuseok,3.0
2016-08,Kculture,chuseok,7.0
2016-09,Kculture,chuseok,55.0
2016-10,Kculture,chuseok,6.0
2016-11,Kculture,chuseok,4.0
2016-12,Kculture,chuseok,3.0
2017-01,Kculture,chuseok,5.0
2017-02,Kculture,chuseok,3.0
2017-03,Kculture,chuseok,3.0
2017-04,Kculture,chuseok,3.0
2017-05,Kculture,chuseok,2.0
2017-06,Kculture,chuseok,3.0
2017-07,Kculture,chuseok,3.0
2017-08,Kculture,chuseok,5.0
2017-09,Kculture,chuseok,19.0
2017-10,Kculture,chuseok,35.0
2017-11,Kculture,chuseok,4.0
2017-12,Kculture,chuseok,3.0
2018-01,Kculture,chuseok,3.0
2018-02,Kculture,chuseok,3.0
2018-03,Kculture,chuseok,2.0
2018-04,Kculture,chuseok,3.0
2018-05,Kculture,chuseok,3.0
2018-06,Kculture,chuseok,3.0
2018-07,Kculture,chuseok,3.0
2018-08,Kculture,chuseok,7.0
2018-09,Kculture,chuseok,57.0
2018-10,Kculture,chuseok,6.0
2018-11,Kculture,chuseok,4.0
2018-12,Kculture,chuseok,3.0
2019-01,Kculture,chuseok,3.0
2019-02,Kculture,chuseok,3.0
2019-03,Kculture,chuseok,2.0
2019-04,Kculture,chuseok,2.0
2019-05,Kculture,chuseok,2.0
2019-06,Kculture,chuseok,3.0
2019-07,Kculture,chuseok,4.0
2019-08,Kculture,chuseok,10.0
2019-09,Kculture,chuseok,72.0
2019-10,Kculture,chuseok,6.0
2019-11,Kculture,chuseok,4.0
2019-12,Kculture,chuseok,4.0
2020-01,Kculture,chuseok,4.0
2020-02,Kculture,chuseok,2.0
2020-03,Kculture,chuseok,2.0
2020-04,Kculture,chuseok,3.0
2020-05,Kculture,chuseok,3.0
2020-06,Kculture,chuseok,3.0
2020-07,Kculture,chuseok,3.0
2020-08,Kculture,chuseok,4.0
2020-09,Kculture,chuseok,69.0
2020-10,Kculture,chuseok,50.0
2020-11,Kculture,chuseok,6.0
2020-12,Kculture,chuseok,5.0
2021-01,Kculture,chuseok,4.0
2021-02,Kculture,chuseok,5.0
2021-03,Kculture,chuseok,3.0
2021-04,Kculture,chuseok,3.0
2021-05,Kculture,chuseok,3.0
2021-06,Kculture,chuseok,3.0
2021-07,Kculture,chuseok,3.0
2021-08,Kculture,chuseok,5.0
2021-09,Kculture,chuseok,100.0
2021-10,Kculture,chuseok,5.0
2021-11,Kculture,chuseok,4.0
2021-12,Kculture,chuseok,3.0
2022-01,Kculture,chuseok,4.0
2022-02,Kculture,chuseok,4.0
2022-03,Kculture,chuseok,4.0
2022-04,Kculture,chuseok,4.0
2022-05,Kculture,chuseok,4.0
2022-06,Kculture,chuseok,4.0
2022-07,Kculture,chuseok,5.0
2022-08,Kculture,chuseok,13.0
2022-09,Kculture,chuseok,88.0
2022-10,Kculture,chuseok,5.0
2022-11,Kculture,chuseok,5.0
2022-12,Kculture,chuseok,4.0
2023-01,Kculture,chuseok,5.0
2023-02,Kculture,chuseok,3.0
2023-03,Kculture,chuseok,3.0
2023-04,Kculture,chuseok,3.0
2023-05,Kculture,chuseok,8.0
2023-06,Kculture,chuseok,6.0
2023-07,Kculture,chuseok,5.0
2023-08,Kculture,chuseok,8.0
2023-09,Kculture,chuseok,100.0
2023-10,Kculture,chuseok,17.0
2023-11,Kculture,chuseok,6.0
2023-12,Kculture,chuseok,5.0
2024-01,Kculture,chuseok,4.0
2024-02,Kculture,chuseok,5.0
2024-03,Kculture,chuseok,4.0
2024-04,Kculture,chuseok,4.0
2024-05,Kculture,chuseok,4.0
2024-06,Kculture,chuseok,4.0
2024-07,Kculture,chuseok,5.0
2024-08,Kculture,chuseok,13.0
2024-09,Kculture,chuseok,91.0
2024-10,Kculture,chuseok,7.0
2024-11,Kculture,chuseok,7.0
2024-12,Kculture,chuseok,5.0
2025-01,Kculture,chuseok,8.0
2025-02,Kculture,chuseok,4.0
2025-03,Kculture,chuseok,4.0
2025-04,Kculture,chuseok,4.0
2025-05,Kculture,chuseok,4.0
2025-06,Kculture,chuseok,4.0
2025-07,Kculture,chuseok,7.0
2025-08,Kculture,chuseok,24.0
2025-09,Kculture,chuseok,57.0
2025-10,Kculture,chuseok,84.0
2015-01,Kculture,hallyu,48.0
2015-02,Kculture,hallyu,45.0
2015-03,Kculture,hallyu,53.0
2015-04,Kculture,hallyu,61.0
2015-05,Kculture,hallyu,69.0
2015-06,Kculture,hallyu,84.0
2015-07,Kculture,hallyu,100.0
2015-08,Kculture,hallyu,82.0
2015-09,Kculture,hallyu,85.0
2015-10,Kculture,hallyu,76.0
2015-11,Kculture,hallyu,61.0
2015-12,Kculture,hallyu,58.0
2016-01,Kculture,hallyu,55.0
2016-02,Kculture,hallyu,57.0
2016-03,Kculture,hallyu,67.0
2016-04,Kculture,hallyu,74.0
2016-05,Kculture,hallyu,72.0
2016-06,Kculture,hallyu,64.0
2016-07,Kculture,hallyu,62.0
2016-08,Kculture,hallyu,60.0
2016-09,Kculture,hallyu,61.0
2016-10,Kculture,hallyu,57.0
2016-11,Kculture,hallyu,59.0
2016-12,Kculture,hallyu,57.0
2017-01,Kculture,hallyu,57.0
2017-02,Kculture,hallyu,53.0
2017-03,Kculture,hallyu,55.0
2017-04,Kculture,hallyu,59.0
2017-05,Kculture,hallyu,53.0
2017-06,Kculture,hallyu,53.0
2017-07,Kculture,hallyu,53.0
2017-08,Kculture,hallyu,45.0
2017-09,Kculture,hallyu,44.0
2017-10,Kculture,hallyu,53.0
2017-11,Kculture,hallyu,46.0
2017-12,Kculture,hallyu,49.0
2018-01,Kculture,hallyu,45.0
2018-02,Kculture,hallyu,42.0
2018-03,Kculture,hallyu,47.0
2018-04,Kculture,hallyu,43.0
2018-05,Kculture,hallyu,57.0
