scenario,split,model,feature_set,start,end,n_months,mae,rmse,wape_pct,bias,seasonal_naive_mae,skill_vs_seasonal_pct
full_period,development,hist_gradient_boosting_log,all_signals,2021-01-01,2023-09-01,33,62576.0868,104314.6896,24.93063361,-36439.57801,261519.9091,76.07215182
full_period,development,hist_gradient_boosting_log,history,2021-01-01,2023-09-01,33,97752.82174,144534.5015,38.94522506,-30061.41576,261519.9091,62.62126961
full_period,development,hist_gradient_boosting_log,history_fx,2021-01-01,2023-09-01,33,77386.21955,116305.0224,30.83106639,-15757.89418,261519.9091,70.40905229
full_period,development,hist_gradient_boosting_log,history_interest,2021-01-01,2023-09-01,33,73157.55072,115686.3454,29.14634306,-46906.23114,261519.9091,72.02601096
full_period,development,last_month,benchmark,2021-01-01,2023-09-01,33,40124.60606,73889.72727,15.98584865,-26969.63636,261519.9091,84.6571505
full_period,development,random_forest_log,all_signals,2021-01-01,2023-09-01,33,79155.02859,122704.2898,31.53576897,-77879.12241,261519.9091,69.73269497
full_period,development,random_forest_log,history,2021-01-01,2023-09-01,33,65612.32408,123559.8698,26.14028611,-60923.97666,261519.9091,74.91115521
full_period,development,random_forest_log,history_fx,2021-01-01,2023-09-01,33,67741.10107,110622.4951,26.98840176,-66420.20741,261519.9091,74.09715333
full_period,development,random_forest_log,history_interest,2021-01-01,2023-09-01,33,77308.02976,120426.126,30.79991518,-76344.97807,261519.9091,70.43895051
full_period,development,ridge_log,all_signals,2021-01-01,2023-09-01,33,185690.5889,432027.6617,73.98008208,91373.02686,261519.9091,28.99562043
full_period,development,ridge_log,history,2021-01-01,2023-09-01,33,129331.3883,200388.5427,51.52628778,-126544.1953,261519.9091,50.54625526
full_period,development,ridge_log,history_fx,2021-01-01,2023-09-01,33,227792.7307,574600.9124,90.75379111,159513.8226,261519.9091,12.89660068
full_period,development,ridge_log,history_interest,2021-01-01,2023-09-01,33,144829.7957,293814.1031,57.70093271,16827.1622,261519.9091,44.61997321
full_period,development,seasonal_naive,benchmark,2021-01-01,2023-09-01,33,261519.9091,388892.1191,104.1908718,-168352.2727,261519.9091,0
full_period,holdout,hist_gradient_boosting_log,all_signals,2023-10-01,2025-09-01,24,151417.2038,202192.0865,13.00610587,-78903.38217,333876.9583,54.648801
full_period,holdout,hist_gradient_boosting_log,history,2023-10-01,2025-09-01,24,176676.5418,259659.4606,15.17577759,-130643.5805,333876.9583,47.08333791
full_period,holdout,hist_gradient_boosting_log,history_fx,2023-10-01,2025-09-01,24,153243.3181,197577.0003,13.16296147,-79457.73418,333876.9583,54.10185871
full_period,holdout,hist_gradient_boosting_log,history_interest,2023-10-01,2025-09-01,24,187134.2577,240087.8455,16.07405174,-53291.44558,333876.9583,43.95113138
full_period,holdout,last_month,benchmark,2023-10-01,2025-09-01,24,115072.5,166969.3926,9.8842475,-22125,333876.9583,65.53445899
full_period,holdout,random_forest_log,all_signals,2023-10-01,2025-09-01,24,94235.46842,136841.7073,8.09443345,-58615.0537,333876.9583,71.77539028
full_period,holdout,random_forest_log,history,2023-10-01,2025-09-01,24,78748.34209,108193.1644,6.764153933,-28708.47026,333876.9583,76.41396325
full_period,holdout,random_forest_log,history_fx,2023-10-01,2025-09-01,24,89861.69737,129344.1897,7.71874477,-45766.31261,333876.9583,73.08538516
full_period,holdout,random_forest_log,history_interest,2023-10-01,2025-09-01,24,88782.1749,136701.5488,7.626018295,-62735.91154,333876.9583,73.40871459
full_period,holdout,ridge_log,all_signals,2023-10-01,2025-09-01,24,1187049.334,1556733.234,101.9625837,1063405.971,333876.9583,-255.5349671
full_period,holdout,ridge_log,history,2023-10-01,2025-09-01,24,576354.019,707395.1292,49.50640484,324150.7923,333876.9583,-72.62467643
full_period,holdout,ridge_log,history_fx,2023-10-01,2025-09-01,24,1797798.643,2364205.913,154.4234004,1670786.591,333876.9583,-438.4614295
